YearMonth,SW_EnergyDensity,CPI_YoY_pct,Avg_Temperature_F,CPIAUCSL,CPI_MoM_pct,Avg_Temperature_C,Total_Food_Portions,Mapped_Food_Portions,Coverage_Rate,Mapped_Rows
2022-01,217.4925462134765,7.558805726967832,47.935483870967744,282.543,0.6046039630400957,8.85304659498208,1781,1677,0.9416058394160584,541
2022-02,221.09310113864703,7.937278766517819,47.142857142857146,284.5,0.6926379347568234,8.412698412698413,1604,1493,0.9307980049875312,474
2022-03,227.08781869688383,8.572204966013853,59.225806451612904,287.674,1.115641476274165,15.125448028673835,1920,1765,0.9192708333333334,589
2022-04,218.51634382566587,8.231750770777225,70.8,288.561,0.3083351293478031,21.555555555555557,1763,1652,0.9370391378332388,556
2022-05,228.68485237483955,8.538171195642065,79.74193548387096,291.298,0.948499623996324,26.523297491039425,1708,1558,0.9121779859484778,514
2022-06,216.24242424242425,8.979361103105798,85.03333333333333,294.957,1.2561019986405686,29.46296296296296,1882,1716,0.9117959617428268,562
2022-07,224.6575,8.462576727730099,87.48387096774194,294.913,-0.014917428642136,30.824372759856633,1756,1600,0.9111617312072892,532
2022-08,221.3293103448276,8.222579178218826,84.41935483870968,295.097,0.0623912814965654,29.12186379928316,1871,1740,0.9299839657936932,581
2022-09,222.63579863269112,8.192106896425821,79.16666666666667,296.349,0.4242672748282716,26.20370370370371,1742,1609,0.9236509758897818,558
2022-10,223.0558659217877,7.758813957693,69.41935483870968,298.007,0.5594754832984217,20.788530465949822,1962,1790,0.9123343527013252,593
2022-11,227.61020036429872,7.122856456533988,57.4,298.786,0.2614032556282231,14.11111111111111,1819,1647,0.9054425508521166,540
2022-12,228.1240506329114,6.404600402357152,53.12903225806452,298.832,0.0153956343335925,11.738351254480287,1753,1580,0.901312036508842,527
2023-01,222.87730061349697,6.327178517960097,54.354838709677416,300.42,0.5314022594635093,12.419354838709674,1743,1630,0.9351692484222603,557
2023-02,227.7136752136752,5.957820738137087,54.57142857142857,301.45,0.3428533386591992,12.539682539682538,1538,1404,0.9128738621586476,490
2023-03,213.59653317393904,4.917719362889961,64.09677419354838,301.821,0.1230718195389002,17.83154121863799,1831,1673,0.9137083560895686,550
2023-04,209.4877750611247,4.950079879124369,65.66666666666667,302.845,0.3392739405144063,18.70370370370371,1763,1636,0.9279636982416336,535
2023-05,223.07865168539325,4.131851231385042,74.2258064516129,303.334,0.1614687381333635,23.45878136200717,1820,1691,0.9291208791208792,556
2023-06,219.61951538965292,3.070617072997095,82.96666666666667,304.014,0.224175331482801,28.314814814814817,1692,1527,0.9024822695035462,494
2023-07,217.0771159874608,3.287749268428297,87.3225806451613,304.609,0.1957146710348745,30.734767025089607,1722,1595,0.9262485481997678,520
2023-08,214.38117647058823,3.722504803505289,89.87096774193549,306.082,0.4835707415079771,32.15053763440861,1842,1700,0.9229098805646035,562
2023-09,225.11654135338347,3.687206638119256,85.1,307.276,0.3900915440960384,29.5,1714,1596,0.9311551925320888,532
2023-10,217.56166134185304,3.2512659098611785,71.16129032258064,307.696,0.1366849347166798,21.75627240143369,1726,1565,0.906720741599073,529
2023-11,216.69579945799455,3.133346274591186,58.8,308.148,0.1468982372211602,14.88888888888889,1642,1476,0.8989037758830695,484
2023-12,215.34243964421856,3.3159099427102934,54.483870967741936,308.741,0.1924399963653789,12.491039426523296,1732,1574,0.9087759815242494,520
